crop,temperature,humidity,rainfall,wind_speed,soil_ph,n_content,p_content,k_content,crop_health_score,health_status,risk_level,primary_risk_factor
Rice,31.51,80.98,239.8,7.34,5.39,27.0,79.3,78.1,98.0,Healthy,Low,Optimal Conditions
Rice,32.5,85.91,159.7,10.16,5.06,83.0,42.0,19.9,96.6,Healthy,Low,Optimal Conditions
Rice,17.66,93.66,4.67,30.97,5.16,133.9,87.3,99.9,37.9,High Risk,High,Rainfall Deviation
Rice,22.98,80.26,216.02,6.83,6.24,24.1,82.7,42.2,98.0,Healthy,Low,Optimal Conditions
Rice,29.21,97.32,281.26,30.39,6.82,59.2,55.6,69.7,81.5,Healthy,Low,Humidity Deviation
Rice,12.99,91.92,6.07,53.08,5.19,138.4,71.8,35.9,5.0,High Risk,High,Rainfall Deviation
Rice,30.15,80.6,259.35,16.57,5.19,63.0,19.3,105.6,98.0,Healthy,Low,Optimal Conditions
Rice,29.19,95.82,295.67,18.42,7.43,121.9,67.7,39.8,83.8,Healthy,Low,Humidity Deviation
Rice,22.4,80.66,166.63,11.59,5.5,127.5,48.0,74.1,98.0,Healthy,Low,Optimal Conditions
Rice,21.86,71.1,111.8,30.45,7.02,96.0,79.7,99.4,90.6,Healthy,Low,Rainfall Deviation
Rice,30.93,78.09,271.12,18.44,5.8,33.2,28.2,59.8,98.0,Healthy,Low,Optimal Conditions
Rice,12.51,18.01,1.2,30.89,5.55,87.0,42.3,21.8,5.0,High Risk,High,Rainfall Deviation
Rice,24.47,80.44,256.84,7.22,7.49,52.0,88.1,58.2,98.0,Healthy,Low,Optimal Conditions
Rice,25.45,79.52,252.11,12.96,6.12,86.3,57.4,23.5,98.0,Healthy,Low,Optimal Conditions
Rice,24.42,82.05,220.55,19.75,6.0,118.0,73.9,30.8,98.0,Healthy,Low,Optimal Conditions
Rice,31.11,67.36,188.19,13.84,6.73,66.4,84.9,29.4,96.8,Healthy,Low,Optimal Conditions
Rice,23.13,83.87,281.6,8.87,6.65,118.1,54.4,70.6,98.0,Healthy,Low,Optimal Conditions
Rice,22.93,83.46,285.06,14.5,5.85,61.9,68.1,109.2,98.0,Healthy,Low,Optimal Conditions
Rice,45.72,96.64,452.76,57.9,7.43,54.1,34.4,66.0,5.0,High Risk,High,Temperature Deviation
Rice,31.94,72.64,152.71,12.41,5.45,64.0,69.5,90.7,98.0,Healthy,Low,Optimal Conditions
Rice,27.43,77.63,245.45,8.76,6.47,137.5,48.9,110.1,98.0,Healthy,Low,Optimal Conditions
Rice,25.5,79.68,250.34,17.96,5.58,79.9,55.8,95.7,98.0,Healthy,Low,Optimal Conditions
Rice,31.95,77.05,191.93,18.25,6.87,134.4,36.5,73.0,98.0,Healthy,Low,Optimal Conditions
Rice,32.21,61.16,178.35,30.6,6.74,88.4,17.8,79.6,88.6,Healthy,Low,Humidity Deviation
Rice,35.73,14.84,7.02,35.38,6.05,50.7,58.9,23.6,21.1,High Risk,High,Rainfall Deviation
Rice,28.28,72.91,160.64,10.95,5.13,126.4,12.2,75.8,98.0,Healthy,Low,Optimal Conditions
Rice,28.72,74.92,173.26,19.73,7.1,123.2,30.0,19.1,98.0,Healthy,Low,Optimal Conditions
Rice,27.37,74.9,274.18,9.07,7.41,74.9,77.4,35.4,98.0,Healthy,Low,Optimal Conditions
Rice,29.0,72.08,169.91,19.54,6.79,24.9,41.9,60.5,98.0,Healthy,Low,Optimal Conditions
Rice,34.75,63.9,118.07,15.51,6.37,105.8,62.8,44.4,74.2,At Risk,Moderate,Temperature Deviation
Rice,12.76,88.52,3.56,36.97,5.23,31.3,34.9,117.8,25.2,High Risk,High,Rainfall Deviation
Rice,22.17,81.45,271.04,10.19,6.16,98.0,13.8,114.7,98.0,Healthy,Low,Optimal Conditions
Rice,39.88,17.55,634.76,47.48,5.07,90.3,85.2,75.4,5.0,High Risk,High,Rainfall Deviation
Rice,28.43,76.87,231.84,19.12,5.97,135.3,82.4,35.6,98.0,Healthy,Low,Optimal Conditions
Rice,23.01,70.27,164.17,15.25,5.18,58.3,77.6,17.4,98.0,Healthy,Low,Optimal Conditions
Rice,16.46,98.3,7.35,44.18,6.06,88.2,56.1,91.8,13.6,High Risk,High,Rainfall Deviation
Rice,24.5,78.71,280.07,13.43,5.6,101.6,69.2,40.0,98.0,Healthy,Low,Optimal Conditions
Rice,27.34,77.45,208.44,9.46,5.25,26.4,86.7,104.0,98.0,Healthy,Low,Optimal Conditions
Rice,31.57,80.15,222.38,12.4,5.21,31.0,58.2,73.1,98.0,Healthy,Low,Optimal Conditions
Rice,31.46,81.72,167.02,18.96,7.44,139.5,14.5,92.4,98.0,Healthy,Low,Optimal Conditions
Rice,19.84,98.0,305.19,11.6,7.05,104.7,16.5,23.9,72.3,At Risk,Moderate,Humidity Deviation
Rice,45.85,13.55,7.53,41.86,5.94,104.6,29.9,49.7,5.0,High Risk,High,Temperature Deviation
Rice,24.54,76.08,235.72,16.11,6.92,118.7,69.5,86.5,98.0,Healthy,Low,Optimal Conditions
Rice,26.0,77.17,162.43,12.93,6.09,116.3,88.2,73.4,98.0,Healthy,Low,Optimal Conditions
Rice,22.43,83.87,287.87,8.79,6.74,29.1,23.3,37.8,98.0,Healthy,Low,Optimal Conditions
Rice,31.96,80.45,207.63,16.06,7.29,135.0,14.6,56.4,98.0,Healthy,Low,Optimal Conditions
Rice,25.36,72.55,247.03,10.82,5.57,51.9,38.8,42.3,98.0,Healthy,Low,Optimal Conditions
Rice,19.41,93.11,173.72,30.9,6.81,93.6,43.5,112.9,78.8,Healthy,Low,Humidity Deviation
Rice,15.96,21.66,1.5,38.75,7.07,88.3,15.1,18.9,8.6,High Risk,High,Rainfall Deviation
Rice,22.14,71.13,253.76,13.02,6.87,129.6,56.8,91.2,98.0,Healthy,Low,Optimal Conditions
Rice,22.27,87.89,309.47,23.6,5.9,33.6,63.7,69.6,94.4,Healthy,Low,Optimal Conditions
Rice,25.62,98.0,141.61,19.25,6.96,96.7,74.4,109.8,78.5,Healthy,Low,Humidity Deviation
Rice,32.65,89.69,292.99,27.24,5.99,94.7,79.0,114.7,90.4,Healthy,Low,Humidity Deviation
Rice,31.27,77.38,188.74,11.89,7.45,79.1,36.3,81.5,98.0,Healthy,Low,Optimal Conditions
Rice,22.76,71.93,169.21,7.28,5.35,96.9,24.6,51.3,98.0,Healthy,Low,Optimal Conditions
Rice,19.12,19.03,1.69,26.11,6.37,84.1,38.5,108.9,25.3,High Risk,High,Rainfall Deviation
Rice,25.3,74.82,163.84,12.22,6.72,81.4,22.6,54.6,98.0,Healthy,Low,Optimal Conditions
Rice,30.68,71.27,239.59,19.79,6.34,130.9,28.9,94.8,98.0,Healthy,Low,Optimal Conditions
Rice,29.1,92.3,154.12,12.36,6.12,83.9,29.4,43.3,89.0,Healthy,Low,Humidity Deviation
